TCGA-2H-A9GK-01A	TCGA-LN-A4A4-01A	TCGA-L5-A4OI-01A	TCGA-L5-A4OM-01A	TCGA-L5-A4OG-01A	TCGA-L5-A88Y-01A	TCGA-L5-A4OR-11A	TCGA-R6-A6XQ-01B	TCGA-ZR-A9CJ-01B	TCGA-L5-A8NW-01A	TCGA-S8-A6BV-01A	TCGA-2H-A9GM-01A	TCGA-LN-A4A5-01A	TCGA-LN-A7HY-01A	TCGA-2H-A9GL-01A	TCGA-IG-A3YA-01A	TCGA-JY-A6FB-01A	TCGA-JY-A938-01A	TCGA-LN-A49Y-01A	TCGA-LN-A5U6-01A	TCGA-L5-A88S-01A	TCGA-JY-A6FD-01A	TCGA-LN-A4A1-01A	TCGA-JY-A6FA-01A	TCGA-JY-A93C-01A	TCGA-LN-A49O-01A	TCGA-L7-A6VZ-01A	TCGA-L5-A88Z-01A	TCGA-R6-A6DN-01B	TCGA-JY-A6FH-01A	TCGA-L5-A8NU-01A	TCGA-L5-A4OG-11A	TCGA-2H-A9GG-01A	TCGA-IG-A625-01A	TCGA-LN-A49U-01A	TCGA-V5-A7RE-01A	TCGA-Q9-A6FW-01A	TCGA-2H-A9GR-01A	TCGA-VR-A8ER-01A	TCGA-IG-A97H-01A	TCGA-IG-A3I8-01A	TCGA-L5-A8NL-01A	TCGA-LN-A7HZ-01A	TCGA-VR-A8ET-01A	TCGA-L5-A88T-01A	TCGA-L5-A43E-01A	TCGA-IG-A4QS-01A	TCGA-IG-A5B8-01A	TCGA-VR-A8EW-01A	TCGA-L5-A8NQ-01A	TCGA-IC-A6RE-01A	TCGA-VR-A8EP-01A	TCGA-IG-A97I-01A	TCGA-JY-A93D-01A	TCGA-R6-A8WC-01A	TCGA-L5-A8NJ-01A	TCGA-L5-A8NE-01A	TCGA-R6-A8W5-01B	TCGA-L5-A8NS-01A	TCGA-R6-A6L4-01A	TCGA-R6-A6Y0-01B	TCGA-L5-A4OQ-11A	TCGA-LN-A49X-01A	TCGA-LN-A9FP-01A	TCGA-VR-A8EX-01A	TCGA-L5-A4ON-01A	TCGA-VR-A8EO-01A	TCGA-LN-A49M-01A	TCGA-LN-A8I0-01A	TCGA-V5-AASX-01A	TCGA-LN-A49S-01A	TCGA-Z6-A8JD-01A	TCGA-L5-A88V-01A	TCGA-IG-A7DP-01A	TCGA-KH-A6WC-01A	TCGA-JY-A93E-01A	TCGA-V5-A7RC-06A	TCGA-VR-A8EY-01A	TCGA-2H-A9GJ-01A	TCGA-LN-A7HX-01A	TCGA-VR-AA4D-01A	TCGA-L5-A893-01A	TCGA-IC-A6RF-11A	TCGA-2H-A9GI-01A	TCGA-Z6-AAPN-01A	TCGA-LN-A8I1-01A	TCGA-LN-A49W-01A	TCGA-V5-AASW-01A	TCGA-IG-A8O2-01A	TCGA-V5-A7RC-01B	TCGA-VR-A8Q7-01A	TCGA-JY-A939-01A	TCGA-L5-A4OJ-11A	TCGA-L5-A4OX-01A	TCGA-L5-A4OU-01A	TCGA-IC-A6RE-11A	TCGA-R6-A8WG-01A	TCGA-L5-A8NV-01A	TCGA-L5-A8NF-01A	TCGA-Z6-A9VB-01A	TCGA-L5-A4OP-01A	TCGA-L5-A8NH-01A	TCGA-LN-A7HW-01A	TCGA-L7-A56G-01A	TCGA-LN-A7HV-01A	TCGA-V5-A7RE-11A	TCGA-IG-A5S3-01A	TCGA-L5-A4OT-01A	TCGA-L5-A4OH-01A	TCGA-L5-A8NR-01A	TCGA-JY-A6FE-01A	TCGA-IG-A4P3-01A	TCGA-IG-A3QL-01A	TCGA-Z6-A8JE-01A	TCGA-RE-A7BO-01A	TCGA-V5-AASX-11A	TCGA-XP-A8T6-01A	TCGA-IG-A3YB-01A	TCGA-VR-A8EQ-01A	TCGA-LN-A9FQ-01A	TCGA-IG-A50L-01A	TCGA-LN-A4A3-01A	TCGA-IC-A6RF-01A	TCGA-2H-A9GO-01A	TCGA-L5-A4OS-01A	TCGA-LN-A9FR-01A	TCGA-L5-A8NG-01A	TCGA-LN-A9FO-01A	TCGA-L5-A8NM-01A	TCGA-L5-A88W-01A	TCGA-L5-A8NT-01A	TCGA-L5-A891-01A	TCGA-VR-A8EU-01A	TCGA-JY-A93F-01A	TCGA-L5-A8NI-01A	TCGA-R6-A6KZ-01A	TCGA-R6-A8W8-01B	TCGA-R6-A6XG-01B	TCGA-LN-A49P-01A	TCGA-LN-A8HZ-01A	TCGA-LN-A4A9-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A4A8-01A	TCGA-2H-A9GF-01A	TCGA-L5-A4OF-11A	TCGA-L5-A4OJ-01A	TCGA-L5-A4OO-11A	TCGA-L5-A43C-01A	TCGA-XP-A8T8-01A	TCGA-2H-A9GN-01A	TCGA-LN-A5U5-01A	TCGA-R6-A6DQ-01B	TCGA-2H-A9GH-01A	TCGA-JY-A6FG-01A	TCGA-LN-A5U7-01A	TCGA-IG-A51D-01A	TCGA-IG-A3YC-01A	TCGA-LN-A4MQ-01A	TCGA-L5-A43J-01A	TCGA-L5-A4OE-01A	TCGA-S8-A6BW-01A	TCGA-V5-A7RB-01A	TCGA-L5-A43C-11A	TCGA-M9-A5M8-01A	TCGA-VR-AA4G-01A	TCGA-L5-A8NK-01A	TCGA-V5-AASV-01A	TCGA-L5-A8NN-01A	TCGA-IG-A6QS-01A	TCGA-L5-A4OO-01A	TCGA-VR-AA7I-01A	TCGA-L5-A4OW-01A	TCGA-2H-A9GQ-01A
CAPNS2	0.023710358	6.040392975	0.089360398	4.141117	1.665507	2.076902	0.1823106	4.331463907	0.09661207	4.936642	0.9261996	1.876622174	0.373617693	1.929601163	0.173912506	3.962293431	0.0175967	0.611136029	5.201130063	5.73416	4.309382958	2.615847	3.178254	3.738957	0.188176441	4.154281	0.09116351	4.725658847	0	0.1314241	0.3397436	0.337410982	0.041621284	3.112416	2.212609	0.03422119	3.841185	0.039491422	5.97742	4.785806207	1.426992	0.01618431	1.517568	6.008674567	4.881120777	0.053893262	2.384313791	4.697766847	6.456344	4.647294507	0.155070533	4.016534094	5.407072441	0.03815341	0.03465682	0.096787019	0.03156265	0.07037827	0.064209806	4.773315	4.791484	0.05404618	1.092877	2.739788	6.24192672	0.3588621	0.300286556	3.513389	4.035189872	0.01544511	5.414597	2.02585012	1.452381	0	5.777859	0.09324936	5.086269	1.536449	0	4.161267	0.138588731	2.999093388	3.226049662	0	3.092152	3.011223599	2.755862421	0	2.521623	5.68485	0.237379747	0	0.358146582	0.10578933	0.361820315	5.728521753	0.06384103	1.372190723	0.057139712	5.669615994	0	0.052148016	3.475422	4.823386	5.034849	0.044960547	2.577499561	0.018466766	0.057333161	0.038038086	0.385030167	4.762236399	1.670666	5.409438519	0.1584058	0.03501661	6.690443623	5.329849	0.06998872	3.568492	1.566722796	4.352822986	1.639493	0.049293869	0.0565627	1.108801	0.21700823	2.429122969	0	2.832449	0.202706319	0.1547323	1.478603	0.827419326	0.1086699	0.163344705	1.141203	0.05790494	4.679639	3.787789	2.287419568	3.217154745	2.29412362	0	0.5304608	0.0342219	0	0	4.013080347	0.065793776	3.755466	0.066470429	0.188459338	5.983797	1.794813278	1.047181	4.035264032	4.317202502	2.512193	2.413308	2.945195	2.623613	0	0.438298949	5.261742428	4.992077339	4.656814133	0.039640563	3.294692819	0.100727797	3.617727833	0.226464143	0.023712046
BNIP3	1.578600177	3.225324279	0.646989401	2.278151	2.260132	1.500072	3.029921	1.732395448	1.415286	2.917126	1.432089	1.181741804	2.136023194	4.458474922	1.118262832	3.332224848	0.7521	1.005548453	2.505175013	4.875065	3.29446438	3.595165	4.912542	1.237447	1.010189657	4.950384	0.5949834	2.291305524	0.9764957	0.8950303	1.648432	3.171830573	3.225478064	3.153981	3.259308	0.4906114	2.332173	0.977131268	3.134133	3.394776553	3.471849	2.072638193	4.60749	2.893197524	3.221938767	0.758272656	1.161216826	4.896122585	4.384447	2.15148031	1.485918556	3.14110136	4.474353195	1.819928	1.112349	0.554908089	1.845612	0.9738464	2.463932346	2.742186	2.343754	2.890875	3.368135	2.060822	2.298740762	0.7759768	1.987362421	3.462823	4.77384483	0.9312775	2.84027	4.286183878	0.7671106	1.603555638	4.083191	1.403773	4.615421	3.288124	1.623082	2.396486	0.798857116	1.988011403	2.600073286	0.752142817	3.173057	4.417798875	3.257903783	0.9751276	2.246896	4.061694	1.853087353	2.99931988	3.084324308	0.89799484	1.362367119	3.902779373	0.7962562	1.206467731	1.259724709	3.013811821	0.6041883	0.675052719	3.171301	4.134938	4.212768	0.897312422	4.07231261	1.376237468	0.38507021	1.642688479	4.744884161	2.929074008	4.352443	2.608303681	1.704376	0.5417813	2.940392594	2.113983	1.478693	3.081274	3.669075692	4.073083631	2.513537	0.571164859	2.910876	2.224635	1.077546197	3.271136766	0.8914785	4.705404	1.302609181	2.217753	4.15685	5.598069369	1.236598	1.384809119	1.060303	0.3821836	2.989683	4.411967	5.976164856	5.615631206	2.728379138	0.6382005	2.696702	0.6071931	2.790514201	3.613865	2.792981385	2.693738218	4.543323	1.168521509	0.886179184	5.209799	3.776646124	3.53088	3.687281106	4.249603366	5.562993	2.792235	3.055074	1.470847	3.403142	0.864696928	2.035675332	3.007832502	2.854446221	0.652838376	4.663425824	1.699752095	3.528052642	0.906156226	4.460690303
RAB38	1.846865631	3.95578988	0.20801882	4.559289	3.475694	2.938059	0.8051528	3.116568301	2.581925	3.804005	1.725895	2.764623201	3.933997688	2.560448634	1.216515456	2.999086141	2.073314	1.12500301	4.987586761	4.530894	2.855514471	4.859121	4.967803	5.081478	2.358512517	5.184993	1.866465	3.368852089	2.384244	0.7538101	1.941548	1.173949381	1.039526578	4.998467	5.147547	3.220877	4.158698	0.877511658	4.90181	7.21739594	4.038756	2.186492506	5.305683	6.187130035	3.993208652	0.337961139	1.485669774	5.650095843	4.986634	4.785465119	1.190073173	4.007731058	4.654189302	0.9340869	2.371065	2.170216848	0.783215	1.822876	1.830511907	4.656767	4.689511	1.136134	5.081473	2.050574	4.352674739	1.027189	2.534250392	4.843619	5.741872807	0.7088321	5.070522	4.996937079	1.772552	0.972080208	4.474047	1.474127	3.000749	6.221525	1.76345	6.730212	2.429704479	3.107384587	5.66956968	1.501042454	5.740999	3.531480647	5.075062718	1.393625	4.618011	4.154947	2.705829225	0.985086791	0.885034711	1.754636184	2.390775291	4.903668135	1.069174	2.588617546	1.376883398	4.249668388	0.6926036	0.62720179	4.522216	4.818278	5.393514	1.776453238	3.090800125	1.623709975	0.719539235	1.488782185	4.109952337	3.445516693	3.903604	3.21304684	2.243909	0.3086428	5.83452395	3.196254	1.42718	4.394482	0.935533983	5.917934837	5.496404	1.364510057	1.782517	5.151225	0.49503245	3.757029499	0.4585546	6.087015	1.049872669	0.537514	5.540378	6.101998249	2.104968	2.669584764	2.133744	2.507478	4.439442	4.920362	3.64440006	4.503825417	2.016322308	3.473157	1.094037	1.650393	0.512196087	1.117862	5.611636065	0.822564735	5.062841	3.382099197	2.108336215	6.05364	4.911788152	4.741836	4.527874893	3.975214388	6.015606	3.653647	4.592562	2.900903	0.4484983	2.037495046	5.718662767	4.485122498	3.564849612	2.2296102	3.913209576	1.290437546	4.699603173	2.321873794	2.103807513
CBR3	1.269856179	2.845778427	1.730574523	1.605125	1.228771	2.264496	0.7389598	2.073927404	1.583259	2.805033	2.558323	1.362353154	1.827226305	1.943519176	1.762961142	1.970570692	1.508508	2.009209811	2.441541592	3.096486	2.022857035	3.111003	3.12567	5.285892	1.009157949	2.506694	0.9241899	5.405280179	2.47079	2.049465	2.125246	1.315282627	1.583500071	5.666836	4.371444	0.5755664	2.842541	1.413720257	2.888309	3.374738811	1.499517	1.645071524	5.781038	3.298680498	3.579208461	1.449550291	1.073928809	1.753716078	2.992784	4.894532522	1.487184635	2.417038391	2.769719056	1.794468	2.254559	1.580216182	0.9431626	1.170777	1.754172336	3.029148	3.066502	1.374327	2.474505	1.922943	3.759972464	1.348427	1.69553234	3.983737	4.911791614	2.84841	4.383376	1.344305301	2.679396	1.835861473	4.741683	1.385855	3.422362	2.580103	0.5769775	3.346543	1.746351924	2.719324758	4.490003827	2.049318887	2.356428	3.955209509	2.833465105	1.836147	4.697042	2.438905	1.037185559	1.207431368	0.975255531	2.071195218	1.925237868	4.555200484	0.837107	1.808401292	0.872643166	4.429948146	1.373806	1.083827657	4.347314	2.864721	4.545893	0.983074606	2.499704682	1.269479114	1.289607974	1.649033666	1.627870825	2.456367023	5.096618	2.942300872	1.016532	1.908637	4.324823342	5.773896	0.9233039	3.83137	3.659627765	2.288274803	3.83474	1.2987215	1.094386	2.982052	1.812998498	2.498140377	2.654253	2.004374	2.072853289	0.7768458	2.711373	2.093488446	1.849284	1.543247247	1.296288	0.5250472	4.94294	3.409737	2.143072682	4.237611064	3.355123699	1.812845	0.7822314	1.04544	1.21444625	1.602599	3.706999696	1.508525767	3.973817	1.811491751	1.776375119	3.125805	2.795627957	2.742834	3.319851143	4.48561502	1.289113	2.475983	3.668517	3.546939	0.613583	0.820794913	3.42482289	3.524318118	2.82502852	0.649821538	3.118169174	1.595343972	4.357181054	1.707093406	1.884921264
MAF	2.593185521	5.595918849	0.864953877	2.7678	2.404308	3.097571	2.216033	1.858130867	2.938455	3.994409	3.698563	3.166720493	3.172792863	2.900607383	3.112404463	3.588565925	1.540437	2.487240517	2.644135568	5.35577	3.500612606	3.857492	4.369854	3.928676	2.500232983	4.669203	1.259983	3.192434632	2.033767	0.7564411	3.518306	3.419760149	2.905024619	2.930642	4.572117	0.7057782	2.613663	1.539889317	4.368703	4.314879943	2.487131	3.159070887	3.459718	4.495184497	3.868547921	1.134581389	2.247996588	4.236272392	4.991145	3.956641023	2.667827738	2.398630804	4.550901976	3.890483	0.8282116	0.739435348	1.306725	2.047439	2.828128396	3.388374	2.541553	3.49208	3.950292	2.805595	4.950142089	3.619158	1.270919581	4.744756	4.083636747	2.116825	3.925255	5.063804937	1.639668	3.493279227	4.541175	2.669948	3.085652	2.641079	0.6139552	4.048934	0.792774667	2.327654634	2.9427783	1.432689429	3.816476	3.422805189	5.071981558	1.170782	2.332097	4.833692	1.652580854	2.487913632	2.27550974	1.4861668	2.568151103	3.470759735	2.220826	2.317286128	0.814794827	3.335719121	1.982818	2.101476135	4.89208	3.823661	3.726846	1.778051938	3.20347063	2.768197055	3.527570213	1.952208829	3.815731216	4.117722087	2.35629	4.438648249	1.414719	0.8535089	3.701405384	4.522808	1.580582	3.836589	4.115255858	4.534719788	2.784678	1.13180236	3.180394	4.430155	1.893124486	3.525710144	1.748948	3.337731	2.990568121	1.882717	4.052158	3.622582071	2.394108	3.129266882	1.854899	0.8004004	2.944481	4.179267	6.51456627	3.532323321	4.739035728	2.623853	2.357427	1.364556	3.073694162	3.207704	2.475988403	1.782273587	2.409676	2.072797669	1.997969494	4.703324	4.674363758	3.327876	4.293764013	4.311660839	5.466668	2.162874	4.125064	2.828519	2.2997	1.506562838	4.12341448	4.061510659	5.52506693	2.770229839	5.435718272	3.126063575	5.587900018	1.979080508	1.725675821
MICALL1	3.528122633	5.361306255	3.31902694	5.326222	4.378372	4.287279	5.453612	4.264001772	3.151551	5.058233	3.168565	3.6589426	4.499959118	4.22155483	2.168700494	4.064988245	3.726194	3.660227831	4.040856818	5.566894	4.914128713	5.524786	5.248289	4.600339	3.045766907	4.918739	2.808924	6.339233957	3.509082	3.473176	3.368074	5.29404964	2.280004384	4.802666	5.310091	3.091042	4.454289	3.092674993	5.031844	5.763171604	4.94675	3.041036863	3.948879	4.660171395	5.425659651	1.813181388	2.829125786	4.37767118	5.751795	5.805813695	3.495708007	5.343168126	4.449005712	2.881449	3.41114	3.426077132	2.33945	3.290282	3.058926685	4.308795	5.287146	3.501382	4.960912	4.175511	5.492651549	2.796122	4.054639939	5.481204	5.37503068	3.327277	4.544959	4.806787303	3.853447	3.555615386	5.142827	3.120643	5.635513	5.540419	2.862882	6.55898	2.73788174	4.233992439	6.119700176	2.608522592	4.770062	4.071511709	4.321432397	3.174596	3.626651	5.776658	5.171265829	3.707240082	5.398298576	2.998977239	3.213825469	5.410093845	3.709593	3.23279651	2.270952453	5.160672251	3.977605	3.024152469	6.084703	5.92212	5.009896	2.835530176	4.654071119	2.986573634	3.182987467	2.807654014	4.319374215	4.51620452	5.421423	3.100549607	2.543295	2.63154	5.615141778	4.605857	3.206617	5.495424	5.687023609	5.300373985	5.559622	2.941596182	3.621359	5.327072	3.11680218	5.027913151	3.092052	5.795885	3.536870549	4.536421	4.971796	6.29388933	2.495844	2.851903025	3.272906	2.893893	5.248584	5.354421	5.285561666	4.172316228	4.46836715	4.309888	5.511327	3.196441	4.98293104	3.405155	5.507844525	2.845200068	4.097057	3.066427166	2.52983577	5.917509	6.111571101	5.537604	5.215214163	5.47672684	5.690072	3.688212	5.248133	3.71122	5.237752	3.173835019	5.131731406	5.399531546	5.529279884	3.55271185	4.676218083	3.959929066	5.132377193	3.154617575	2.45270536
TNC	4.778017561	6.418759561	2.284096115	6.837508	4.689532	4.696794	2.05202	1.795508691	5.808969	5.024167	3.319082	4.104597781	9.620077069	6.356607801	3.685280583	7.957932805	3.749814	4.814787337	3.293525067	7.898942	7.646915295	5.016932	8.515741	6.778707	3.935077151	8.623804	2.374669	4.427816673	3.726843	1.427296	5.111721	3.414510026	2.982251174	3.809497	8.659781	1.158698	3.31844	2.389527263	3.56252	7.064327767	7.036343	6.182023122	6.882793	1.776290827	4.137373142	2.781155771	3.32617253	5.359559747	6.520685	6.137437971	3.541021677	4.17638775	8.140131025	4.584222	1.998832	1.361395957	1.500581	4.024536	4.921859685	2.050753	3.399246	4.771215	9.922282	5.643766	3.903195278	2.309001	6.458370096	7.773608	7.720461503	3.656836	3.490752	7.63760916	3.614645	4.14056578	3.069391	3.301893	5.053018	8.476827	1.571577	6.048946	2.198696454	3.929365294	5.340845673	2.291637708	4.22341	4.715070933	6.676871443	2.18388	5.12849	6.004884	3.749258279	3.329870432	2.424219608	2.152891446	4.928121993	3.04942601	2.684564	4.061762884	2.637168465	8.623516981	2.102241	1.370720034	8.014371	5.638804	7.160376	1.066774029	3.579602179	3.707721299	2.491584079	4.861433562	6.721877452	6.568827344	8.240282	4.426283243	3.127989	1.100096	5.409297451	3.218608	3.62916	7.833229	6.963605348	5.461228025	5.421907	1.253439085	4.7681	8.707238	3.397899215	5.208621381	3.74024	4.859199	4.640080072	4.304565	6.961991	5.239411909	3.960891	1.683467638	2.929473	1.305094	4.537905	7.165126	5.849864132	6.170750771	7.661723775	2.936395	3.639532	2.357689	4.48021086	5.93419	6.430277838	4.537314289	3.210964	2.963450612	2.355617712	3.461099	8.331269293	6.280431	7.292773162	5.109027859	8.143915	4.734011	7.279267	3.141828	1.616639	3.549385994	6.017147301	6.655466093	5.412218566	1.678737281	8.240689204	2.882242379	8.370418107	3.885903548	4.339220882
CDH17	2.012197924	0.112241307	7.893530823	0.5637575	2.536367	7.129485	0.1638609	1.85425155	3.537242	3.807147	7.409414	6.407160327	1.134116886	0.148886094	6.193947119	0.989663479	5.117266	6.914213829	0.039786746	0.03159669	0.116856886	0.5156948	0.1950215	0.01610902	7.482216097	0.02978101	4.418809	0.262670027	0.4639689	5.850038	1.210374	0.295508637	7.283312585	0.4984207	0.04272236	7.317609	3.854629	5.270213795	0.09317641	0.178589449	0.832421	0.494061698	0.061285	1.742009896	3.998352097	6.14653161	7.712486504	0.423133383	0.6808606	0.346646948	6.80313328	0.056682348	0.150403132	4.084268	6.699437	6.699404171	4.506853	3.910578	2.85261094	5.843936	5.759717	0.4983407	0.5272893	0.2520187	0.285046343	6.921757	0.148577294	0.02778061	0.083116168	6.305321	0.3392464	0.409090717	1.642704	1.5207879	0.6540024	2.040126	0.4624638	0.6506243	5.676892	0.2891888	7.241582788	6.711458038	1.28776156	7.047371002	0.2661892	0.236346828	0.48020483	7.329932	0.5743701	0.1530887	0.925517606	3.953844573	0.837444752	6.411756503	1.815479071	0.715309924	5.439959	3.301134964	4.480598805	0.206525038	8.057306	6.59659704	0.01937449	0.7629395	0.04352566	7.123971239	0.739438517	2.096942031	6.266161265	7.092771913	0.051319628	0.870677883	0.6746306	0.141570557	7.268907	6.034055	0.165500095	0.5973357	1.835866	0.8311981	0.124579427	0.142840771	0.1195175	1.74575121	3.597912	0.8997553	6.279910691	1.045060774	6.536337	0.02736204	5.795770876	2.235089	0.08157175	0.256264853	3.742598	6.01110691	7.668822	5.891445	0.2519815	0.02127519	0.292390449	0.281530986	0.958570809	3.93264	0.05217419	6.26791	1.099418247	5.316842	0.138004557	5.861193505	0.7414657	5.640547828	6.228059177	0.6944279	0.256282333	0.7775743	1.28538848	0.170718509	0.816207	6.119991	0.01777472	8.053511	0.04664945	5.98025446	1.545669669	1.308608528	0.365566524	4.210592228	0.184281797	0.978158503	0.356296281	6.551836615	0.610282132
SMO	0.63286882	3.3634845	0.515198731	3.537097	0.8665261	1.757935	1.213943	1.80870454	2.057938	2.30805	0.9891959	1.265804528	2.34629709	3.891830589	1.158265114	3.33236224	0.3729534	1.377552956	2.808412953	3.267083	2.332663635	1.019147	2.547473	3.51024	1.365178557	1.149708	0.2963475	4.118585115	0.3583504	1.205708	2.964081	1.937089666	1.444191557	3.291013	4.377162	0.2121336	1.464548	1.489753061	4.314418	4.429901974	4.152629	2.665401748	3.467699	1.017173991	2.651122882	0.483042835	0.890066834	0.324939112	3.945346	2.457882484	1.504705583	4.387059759	2.823329767	2.683052	0.518653	0.223573513	1.543851	1.896845	2.128744278	1.874338	2.184202	3.124513	3.055502	2.981877	3.788617511	0.452373	4.15408045	1.82723	3.041879334	1.173535	2.602756	2.105536927	1.414958	2.488944632	2.765384	1.860399	5.285697	4.315298	1.313923	3.882735	0.581154813	1.533829207	1.580698952	0.301527738	3.146827	2.967674845	2.653864534	0.3907552	2.300396	4.813867	1.243835697	1.948120955	2.627572982	0.433957426	0.890301621	3.315488652	2.378867	1.677899691	1.291177189	3.907888731	0.3743177	0.661020878	4.7702	3.949311	3.87286	0.731390471	4.914824305	2.416453655	0.591090701	1.360545767	4.911294341	2.888838619	5.19656	2.873579413	0.4999576	0.5605188	3.518046636	1.643019	0.4376346	4.393185	3.471541696	2.492803814	0.9999071	0.153096315	2.741039	4.11101	1.574747535	2.106255605	0.6427737	1.853493	2.113802327	0.6011883	1.06558	0.335922227	2.561805	2.645021623	0.6845204	0.4129151	4.065085	3.926643	2.59629814	4.55888793	4.100199591	1.155802	1.625328	0.3593672	2.046206557	2.034306	3.939718543	1.734904046	2.789672	1.023940184	1.112387929	2.312953	3.30387246	1.699685	2.55491099	3.481816813	2.8613	0.5600881	4.277765	1.104326	1.484985	1.085933799	3.025682513	2.587316147	5.733234183	2.302369942	0.678665014	2.575176997	2.75744538	1.210296653	3.620446225
TFF2	2.744116743	0	2.118961513	0.04259084	8.958792	2.664301	10.03378	0.169949093	1.460547	4.030413	1.960799	3.293183824	0.081195612	0	5.892417416	0.066806059	0.8569299	1.725061369	2.50775424	1.825361	0	0.3064502	0	0.2919444	1.070929708	0	5.57703	0	2.396741	1.981076	5.4278	10.337348964	6.291295193	0	0.5097317	6.751723	6.918206	6.942572156	0	0.679563552	0	7.523683006	0	0.22021952	0.75638597	5.172039835	4.354507179	0.588290589	0.8924068	0.900115743	8.019278488	1.645993129	0	7.823656	2.075278	5.518113262	5.726027	7.263684	5.195945695	2.731142	3.460848	0.1288921	0.809729	2.502055	0.310682537	6.859457	2.780847438	0.05542204	1.483488704	2.436617	1.038622	0.108825872	2.29809	0	0	5.182243	0	0	5.683637	0	0.127721957	7.325631947	0.70322985	0.422334163	0.1073093	0.02845559	0.212447064	0.1040719	0.1416088	0	2.884134667	7.939602069	9.028561054	0.781111057	3.527232814	0.133971949	1.088239	7.936707851	6.195796893	0	0.8552623	5.304064393	0	0	0.02573016	5.548467436	1.287790228	9.700738123	0.069874697	0.297398379	0.205615308	0.024117335	0.1586155	0.045871155	2.894003	4.626357	0.899653161	0.07216344	8.890599	0	0	0.367229781	2.04809	11.235878197	0.3531626	1.014673	4.863268708	0.245032715	6.809005	0.01842877	6.636971192	0.6837543	0	0.07274115	7.557966	2.599962695	1.715301	7.820299	0	0.07841714	0.08531524	0.748854736	0.067193151	2.735606	10.97786	9.053747	8.399051802	1.113653	0	1.009941384	0.5069479	6.998147448	4.618994662	1.734431	0.019255349	0.928879	2.070484566	0	0.6284438	1.123232	0	0.2583176	8.359081	4.171365243	1.424246892	1.788969603	1.05705063	0.162663575	0	3.073973905	0.082940491	9.965801265	1.200546339
ZNF385A	3.492222031	6.515497979	4.896735917	6.638201	4.500432	4.627527	1.622314	4.964905177	3.653949	5.311553	3.951243	3.179965939	5.375376028	5.198950693	2.798562637	5.551504365	3.527402	2.990976461	6.354836843	5.535705	4.815667682	6.560604	6.009085	6.186015	2.719432254	6.027471	2.598221	6.519927173	3.625504	4.878357	4.338252	3.424486454	3.701170851	5.856399	5.465723	3.37072	4.850125	2.831839236	7.020931	5.720981707	5.311897	3.635256803	6.828989	5.665584163	5.62109785	2.955963348	3.503412213	6.361056553	6.774748	5.728694453	3.878606922	6.113837338	6.652061845	4.432563	2.282671	3.780940458	3.02122	4.130974	3.330828347	5.249701	5.820649	4.551186	5.36131	4.7454	6.387453625	2.124538	5.394638452	6.296727	6.570495601	3.045226	5.966365	5.572359468	3.739344	5.053465087	5.909896	3.184592	6.785416	5.9911	1.981706	6.50357	4.008726646	4.34663027	6.227237541	3.716672637	6.821361	5.695645262	5.920807995	2.262029	6.27613	6.146889	3.320728552	2.819307088	2.562676562	2.935208327	4.260105493	5.896452353	3.606741	3.252598122	1.658240569	6.349775491	2.218307	2.077002615	5.338446	5.61204	6.194374	2.369645049	4.822756162	3.343183071	1.792856167	2.861421636	4.220091568	6.508794118	5.594573	6.101039794	2.526934	1.691528	6.444791835	5.899887	2.964851	5.466887	5.045011387	6.176917525	6.361922	2.537632044	3.686617	5.392649	3.067886158	5.894245252	3.286913	5.737814	3.499545885	3.93346	5.55482	6.51983745	4.010126	4.060857211	2.481119	1.463736	5.722424	6.553571	7.571211349	5.942596089	5.803913364	3.933436	2.324525	2.066126	3.845813477	4.100762	5.961858423	2.556768804	5.593506	2.737669207	3.026035691	5.862413	6.61400299	5.990437	6.099066994	6.710456849	5.832322	4.904202	6.904021	3.696864	1.994294	3.271398108	5.884115504	5.939577191	6.312279627	3.867868397	6.627830947	3.913705375	5.887605859	3.238990901	3.460740439
