ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-CV-7423-01A	-663.3739289	-70.15492542	-733.5288543	0.878867287	HNSC
TCGA-KU-A6H7-06A	-1089.864666	1586.56299	496.6983233	0.778893504	HNSC
TCGA-CR-6470-01A	354.2670074	2180.732183	2534.99919	0.559432227	HNSC
TCGA-CV-A45O-01A	-593.2105221	1038.339092	445.1285698	0.783618616	HNSC
TCGA-CV-A6JU-01A	-312.0574086	593.8003173	281.7429088	0.79829116	HNSC
TCGA-CR-6487-01A	329.5656002	2670.229923	2999.795524	0.50162306	HNSC
TCGA-CV-7427-01A	-369.5606784	1779.651973	1410.091295	0.68806862	HNSC
TCGA-P3-A6T7-01A	-522.9745256	446.5491085	-76.42541704	0.828837949	HNSC
TCGA-IQ-A61G-01A	-1620.609645	112.9984595	-1507.611185	0.927290605	HNSC
TCGA-CV-A6JT-01A	219.3899572	1186.816434	1406.206392	0.688482314	HNSC
TCGA-CV-7177-01A	600.0218551	163.0518206	763.0736757	0.753782097	HNSC
TCGA-DQ-5629-01A	-637.6475619	-342.721523	-980.3690849	0.895572336	HNSC
TCGA-CV-7446-01A	-517.4985985	103.068038	-414.4305604	0.855565772	HNSC
TCGA-BA-A4IH-01A	-338.2856045	620.8470379	282.5614334	0.798218791	HNSC
TCGA-D6-A6EK-01A	-433.4499339	1784.815287	1351.365353	0.694298251	HNSC
TCGA-P3-A6T0-01A	-800.7380799	-190.4972072	-991.2352871	0.896280852	HNSC
TCGA-CV-A465-01A	-1419.183951	-311.6076847	-1730.791636	0.93905442	HNSC
TCGA-CR-7383-01A	696.3500677	1574.179417	2270.529485	0.591180514	HNSC
TCGA-IQ-A61I-01A	-1202.380634	1321.986047	119.6054134	0.812397736	HNSC
TCGA-D6-A4ZB-01A	-672.400648	466.1034808	-206.2971672	0.839352604	HNSC
TCGA-CV-5966-01A	-122.6839135	1473.117676	1350.433763	0.694396659	HNSC
TCGA-BA-A4II-01A	-311.5946891	754.2608228	442.6661337	0.783843117	HNSC
TCGA-UP-A6WW-01A	-307.1329206	1115.924637	808.7917168	0.749355274	HNSC
TCGA-CR-6473-01A	-1046.245955	148.7624667	-897.4834882	0.890093052	HNSC
TCGA-CV-7438-01A	-42.01391318	971.7451116	929.7311984	0.737482665	HNSC
TCGA-CV-7097-01A	508.8899379	1236.366082	1745.25602	0.651549936	HNSC
TCGA-QK-A8Z9-01B	972.9766873	1078.387218	2051.363906	0.616817284	HNSC
TCGA-UF-A7JO-01A	-80.73577534	2136.208074	2055.472298	0.616342496	HNSC
TCGA-CV-7180-01A	-1407.538206	201.2357759	-1206.30243	0.909832535	HNSC
TCGA-D6-A6EO-01A	-913.5867346	-114.5039754	-1028.09071	0.898666966	HNSC
TCGA-HD-A6I0-01A	-368.8452696	1245.430496	876.5852262	0.742728845	HNSC
TCGA-CV-6950-01A	-207.8118835	448.29814	240.4862565	0.801923855	HNSC
TCGA-UF-A7JK-01A	-1048.362303	-578.2440907	-1626.606394	0.933687498	HNSC
TCGA-UF-A7JF-01A	-974.5032586	914.1236048	-60.37965383	0.827517869	HNSC
TCGA-CV-7428-01A	-173.0043401	1233.378508	1060.374168	0.724396449	HNSC
TCGA-D6-A6ES-01A	-855.0057854	928.3509491	73.34516372	0.816338522	HNSC
TCGA-CQ-A4CH-01A	-419.1266378	559.521693	140.3950552	0.810614511	HNSC
TCGA-D6-A6EN-01A	-565.6995717	2141.440038	1575.740466	0.670222616	HNSC
TCGA-CR-7394-01A	810.7519977	2309.590801	3120.342799	0.486237677	HNSC
TCGA-CV-7425-01A	-382.9676341	1042.004311	659.0366771	0.763729038	HNSC
TCGA-CV-7254-01A	1178.002897	2016.141214	3194.144111	0.476743013	HNSC
TCGA-CR-6478-01A	369.0137348	2347.244929	2716.258664	0.537183093	HNSC
TCGA-TN-A7HL-01A	-421.3485848	2557.255271	2135.906687	0.607002127	HNSC
TCGA-CQ-6218-01A	-20.26064007	974.4670346	954.2063945	0.735051541	HNSC
TCGA-HD-7229-01A	-978.3981023	997.8776158	19.47951356	0.820879747	HNSC
TCGA-MT-A67D-01A	107.7171639	1159.557793	1267.274957	0.703128591	HNSC
TCGA-IQ-7631-01A	541.5765617	-115.5759603	426.0006014	0.785359826	HNSC
TCGA-CQ-7072-01A	643.6735492	419.4511341	1063.124683	0.724118056	HNSC
TCGA-BB-A6UM-01A	-1341.441181	1102.979926	-238.4612548	0.841909687	HNSC
TCGA-MT-A67F-01A	207.0244544	2615.753055	2822.77751	0.523929765	HNSC
TCGA-H7-8501-01A	304.0316176	2302.430583	2606.4622	0.550706746	HNSC
TCGA-CN-A6V7-01A	-1936.841708	301.0896195	-1635.752089	0.934167384	HNSC
TCGA-BA-A8YP-01A	234.4722642	135.7018475	370.1741117	0.790406232	HNSC
TCGA-CN-A49B-01A	-160.2542965	1571.862622	1411.608325	0.687907014	HNSC
TCGA-CV-7183-01A	-449.625096	-192.4070428	-642.0321388	0.8723809	HNSC
TCGA-CN-4736-01A	772.523464	1906.347408	2678.870872	0.541803999	HNSC
TCGA-CV-A6K1-01A	-524.9823221	897.1958712	372.2135491	0.79022281	HNSC
TCGA-P3-A5QF-01A	-970.7054029	507.7811499	-462.924253	0.859229173	HNSC
TCGA-CV-6960-01A	-1186.494154	-132.0096307	-1318.503785	0.916543419	HNSC
TCGA-P3-A6T5-01A	-225.6240819	642.9619611	417.3378792	0.786146354	HNSC
TCGA-CV-A6JZ-01A	452.6122015	2094.945715	2547.557916	0.557903264	HNSC
TCGA-MZ-A6I9-01A	-1198.052248	344.2206237	-853.8316243	0.887154357	HNSC
TCGA-CV-6433-01A	-832.8872489	1958.164071	1125.276822	0.717795946	HNSC
TCGA-CN-4725-01A	-763.5013011	-118.7169863	-882.2182874	0.88906953	HNSC
TCGA-BA-5151-01A	50.95974024	1093.794898	1144.754638	0.715802345	HNSC
TCGA-CR-6467-01A	-713.7715416	2045.355935	1331.584393	0.696385017	HNSC
TCGA-CN-4726-01A	432.9332869	978.1534165	1411.086703	0.687962585	HNSC
TCGA-F7-A624-01A	-388.362409	2406.835984	2018.473575	0.620610166	HNSC
TCGA-CN-5359-01A	1258.40565	2064.831903	3323.237554	0.460001068	HNSC
TCGA-BA-A6DL-01A	-1368.49867	156.0151648	-1212.483505	0.910208672	HNSC
TCGA-QK-A6IH-01A	-425.864073	458.241131	32.37705795	0.819797063	HNSC
TCGA-HD-7754-01A	327.7516821	404.397305	732.1489871	0.756757261	HNSC
TCGA-BA-6869-01A	-1246.082543	391.3871439	-854.6953992	0.887212861	HNSC
TCGA-TN-A7HI-01A	-315.4836905	1513.842227	1198.358536	0.710285695	HNSC
TCGA-CV-5440-01A	-940.1457538	-146.9545199	-1087.100274	0.902432597	HNSC
TCGA-MZ-A5BI-01A	-271.7070612	2344.06464	2072.357579	0.61438879	HNSC
TCGA-BB-4228-01A	-250.1635952	705.7635165	455.5999213	0.782662796	HNSC
TCGA-CV-5970-01A	142.7196612	700.7551884	843.4748496	0.745974425	HNSC
TCGA-CQ-7065-01A	-1090.621689	-557.3070202	-1647.928709	0.934803694	HNSC
TCGA-QK-A8Z8-01A	-1195.692989	35.21016074	-1160.482829	0.90702094	HNSC
TCGA-F7-A623-01A	-855.9366684	498.5367263	-357.3999421	0.851202002	HNSC
TCGA-P3-A6SW-01A	-450.6878732	1400.941107	950.2532339	0.735444852	HNSC
