ID	TP53	TP63	TP73	Type	CancerType
TCGA-OR-A5K3-01	0.94860998	0.4705113	0.022543152	Tumor	ACC
TCGA-OR-A5K4-01	0.954243224	0.205586798	0.026110083	Tumor	ACC
TCGA-OR-A5K5-01	0.934153676	0.694202238	0.017717327	Tumor	ACC
TCGA-OR-A5K6-01	0.933850511	0.873580322	0.020171755	Tumor	ACC
TCGA-OR-A5K8-01	0.945113341	0.903356996	0.016709901	Tumor	ACC
TCGA-OR-A5K9-01	0.952439887	0.961627714	0.01824428	Tumor	ACC
TCGA-OR-A5KO-01	0.940926976	0.874545924	0.022984823	Tumor	ACC
TCGA-OR-A5KT-01	0.959898981	0.497731507	0.020342452	Tumor	ACC
TCGA-OR-A5KU-01	0.955809725	0.593216783	0.023013169	Tumor	ACC
TCGA-OR-A5KV-01	0.951670539	0.853264058	0.019577056	Tumor	ACC
TCGA-OR-A5KW-01	0.912307771	0.773863695	0.01980764	Tumor	ACC
TCGA-OR-A5KX-01	0.955727598	0.532911291	0.02230036	Tumor	ACC
TCGA-OR-A5KY-01	0.947188502	0.807416463	0.020844135	Tumor	ACC
TCGA-OR-A5KZ-01	0.941964624	0.124507868	0.026390922	Tumor	ACC
TCGA-OR-A5L3-01	0.958885951	0.799812923	0.016522735	Tumor	ACC
TCGA-OR-A5L4-01	0.951377289	0.154873798	0.028595991	Tumor	ACC
TCGA-OR-A5L5-01	0.946701455	0.687247865	0.026081439	Tumor	ACC
TCGA-OR-A5L6-01	0.949073065	0.062267833	0.019320335	Tumor	ACC
TCGA-OR-A5L8-01	0.947516128	0.928175993	0.020939998	Tumor	ACC
TCGA-OR-A5L9-01	0.933887816	0.705787041	0.029251786	Tumor	ACC
TCGA-OR-A5LA-01	0.949842617	0.742038155	0.017319435	Tumor	ACC
TCGA-OR-A5LB-01	0.963147575	0.852297373	0.014748241	Tumor	ACC
TCGA-OR-A5LC-01	0.921707445	0.882825743	0.018880929	Tumor	ACC
TCGA-OR-A5LD-01	0.957107856	0.875216753	0.019494169	Tumor	ACC
TCGA-OR-A5LE-01	0.947014803	0.328413147	0.015552026	Tumor	ACC
TCGA-OR-A5LG-01	0.939354789	0.855430293	0.018193429	Tumor	ACC
TCGA-OR-A5LH-01	0.942357615	0.524957973	0.026841603	Tumor	ACC
TCGA-OR-A5LJ-01	0.949180327	0.839510625	0.022527904	Tumor	ACC
TCGA-OR-A5LK-01	0.953218829	0.671017097	0.022740327	Tumor	ACC
TCGA-OR-A5LL-01	0.946470132	0.839761018	0.026338743	Tumor	ACC
TCGA-OR-A5LM-01	0.955073413	0.860159167	0.017385663	Tumor	ACC
TCGA-OR-A5LN-01	0.957528438	0.556716212	0.015558297	Tumor	ACC
TCGA-OR-A5LO-01	0.963141947	0.905107048	0.020309171	Tumor	ACC
TCGA-OR-A5LP-01	0.934964315	0.636849008	0.024900136	Tumor	ACC
TCGA-OR-A5LR-01	0.951301206	0.819888645	0.017245496	Tumor	ACC
TCGA-OR-A5LS-01	0.945632938	0.913290385	0.021409439	Tumor	ACC
TCGA-OR-A5LT-01	0.963114307	0.602417407	0.022284976	Tumor	ACC
TCGA-OU-A5PI-01	0.948774339	0.869050415	0.018666251	Tumor	ACC
